Product_ID,Product_Name,Category,Manufacturer,Stock_Quantity,Sales_Person,Sale_Date,Unit_Price,SKU,Units_Sold,Sales_Profit
123,Window Regulator,Accessories,BrightBeam,200,Tom Brown,2024-04-04,45,WR-6802,10,450
124,Power Steering Pump,Hydraulics,AutoFlex,75,Alice Green,2024-04-08,180,PS-7913,4,720
125,Muffler,Exhaust,SystemParts,100,Karen White,2024-04-12,85,MU-8024,6,510
126,Side Mirror,Body,AutoPro Inc.,200,John Smith,2024-04-16,50,SM-9135,20,1000
127,Battery,Electrical,EngineMax,90,Sarah Lee,2024-04-20,120,BA-0246,8,960
128,Gasket Set,Engine,FilterKing,300,Tom Brown,2024-04-24,25,GS-1357,15,375
129,Turbocharger,Engine,EngineMax,50,Alice Green,2024-04-28,600,TC-2468,1,600
130,Car Jack,Tools,BrightBeam,150,Karen White,2024-05-03,75,CJ-3579,5,375
131,Brake Booster,Brakes,AutoPro Inc.,80,John Smith,2024-05-07,180,BB-4680,4,720
132,Oxygen Sensor,Engine,EngineMax,200,Sarah Lee,2024-05-11,95,OS-5791,10,950
133,Shock Mount,Suspension,AutoFlex,100,Tom Brown,2024-05-15,70,SM-6802,6,420
134,Timing Cover,Engine,FilterKing,150,Alice Green,2024-05-19,65,TC-7913,8,520
135,Fog Light,Lighting,BrightBeam,300,Karen White,2024-05-23,35,FL-8024,25,875
136,Brake Rotor,Brakes,AutoPro Inc.,120,John Smith,2024-05-27,120,BR-9135,5,600
137,Control Arm,Suspension,AutoFlex,150,Sarah Lee,2024-06-01,180,CA-0246,4,720
138,Fuel Injector,Engine,EngineMax,90,Tom Brown,2024-06-05,250,FI-1357,3,750
139,Drive Shaft,Transmission,AutoFlex,80,Alice Green,2024-06-09,350,DS-2468,2,700
140,Water Pump,Engine,FilterKing,200,Karen White,2024-06-13,120,WP-3579,7,840
141,Transmission Filter,Transmission,AutoPro Inc.,90,John Smith,2024-06-17,75,TF-4680,10,750
142,Crankshaft Pulley,Engine,EngineMax,150,Sarah Lee,2024-06-21,95,CP-5791,8,760
143,Starter Motor,Electrical,CoolParts,50,Tom Brown,2024-06-25,300,SM-6802,2,600
144,Throttle Body,Engine,FilterKing,100,Alice Green,2024-06-29,220,TB-7913,3,660
145,Wheel Hub,Suspension,AutoFlex,120,Karen White,2024-07-03,180,WH-8024,5,900
146,Valve Cover,Engine,FilterKing,200,John Smith,2024-07-07,150,VC-9135,4,600
147,Heater Core,Cooling,CoolParts,80,Sarah Lee,2024-07-11,250,HC-0246,2,500
148,Door Handle,Body,BrightBeam,300,Tom Brown,2024-07-15,50,DH-1357,12,600
149,Windshield Wiper Motor,Accessories,AutoPro Inc.,120,Alice Green,2024-07-19,90,WW-2468,8,720
150,Timing Chain Kit,Engine,EngineMax,50,Karen White,2024-07-23,350,TK-3579,2,700
151,Brake Pad,Brakes,AutoPro Inc.,350,John Smith,2024-08-03,25,BP-1234,10,250
152,Spark Plug,Engine,EngineMax,200,Sarah Lee,2024-08-05,15,SP-5678,15,225
153,Oil Filter,Engine,FilterKing,500,Tom Brown,2024-08-07,10,OF-9123,20,200
154,Suspension Arm,Suspension,AutoFlex,120,Alice Green,2024-08-10,150,SA-3456,5,750
155,Headlight Bulb,Lighting,BrightBeam,600,Karen White,2024-08-15,8,HB-7890,25,200
156,Radiator,Cooling,CoolParts,80,John Smith,2024-08-20,250,RA-4321,2,500
157,Wiper Blade,Accessories,AutoPro Inc.,300,Sarah Lee,2024-08-25,12,WB-6789,18,216
158,Air Filter,Engine,FilterKing,400,Tom Brown,2024-08-28,20,AF-1357,12,240
159,Fuel Pump,Engine,EngineMax,150,Alice Green,2024-09-06,180,FP-2468,6,1080
160,Clutch Plate,Gearbox,AutoFlex,100,Karen White,2024-09-10,220,CP-3579,4,880
161,Brake Disc,Brakes,AutoPro Inc.,250,John Smith,2024-09-13,75,BD-4680,8,600
162,Alternator,Electrical,EngineMax,90,Sarah Lee,2024-09-23,300,AL-5791,3,900
163,Timing Belt,Engine,FilterKing,200,Tom Brown,2024-09-26,50,TB-6802,10,500
164,Exhaust Pipe,Exhaust,SystemParts,150,Alice Green,2024-09-29,100,EP-7913,7,700
165,Steering Wheel,Accessories,BrightBeam,50,Karen White,2024-10-01,180,SW-8024,2,360
166,Wheel Bearing,Suspension,AutoFlex,120,John Smith,2024-10-05,90,WB-9135,6,540
167,Shock Absorber,Suspension,AutoFlex,100,Sarah Lee,2024-10-09,120,SA-0246,5,600
168,Bumper Cover,Body,AutoPro Inc.,80,Tom Brown,2024-10-13,250,BC-1357,3,750
169,Ignition Coil,Electrical,EngineMax,200,Alice Green,2024-10-17,60,IC-2468,12,720
170,Engine Mount,Engine,FilterKing,150,Karen White,2024-10-21,95,EM-3579,8,760
171,AC Compressor,Cooling,CoolParts,60,John Smith,2024-10-26,320,AC-4680,2,640
172,Fan Belt,Engine,FilterKing,500,Sarah Lee,2024-10-30,35,FB-5791,14,490
173,Window Regulator,Accessories,BrightBeam,200,Tom Brown,2024-11-11,45,WR-6802,10,450
174,Power Steering Pump,Hydraulics,AutoFlex,75,Alice Green,2024-11-08,180,PS-7913,4,720
175,Muffler,Exhaust,SystemParts,100,Karen White,2024-11-12,85,MU-8024,6,510
176,Side Mirror,Body,AutoPro Inc.,200,John Smith,2024-11-16,50,SM-9135,20,1000
177,Battery,Electrical,EngineMax,90,Sarah Lee,2024-11-20,120,BA-0246,8,960
178,Gasket Set,Engine,FilterKing,300,Tom Brown,2024-11-24,25,GS-1357,15,375
179,Turbocharger,Engine,EngineMax,50,Alice Green,2024-11-28,600,TC-2468,1,600
180,Car Jack,Tools,BrightBeam,150,Karen White,2024-11-03,75,CJ-3579,5,375
181,Brake Booster,Brakes,AutoPro Inc.,80,John Smith,2024-11-07,180,BB-4680,4,720
182,Oxygen Sensor,Engine,EngineMax,200,Sarah Lee,2024-11-11,95,OS-5791,10,950
183,Shock Mount,Suspension,AutoFlex,100,Tom Brown,2024-11-15,70,SM-6802,6,420
184,Timing Cover,Engine,FilterKing,150,Alice Green,2024-11-19,65,TC-7913,8,520
185,Fog Light,Lighting,BrightBeam,300,Karen White,2024-11-23,35,FL-8024,25,875
186,Brake Rotor,Brakes,AutoPro Inc.,120,John Smith,2024-11-27,120,BR-9135,5,600
187,Control Arm,Suspension,AutoFlex,150,Sarah Lee,2024-12-01,180,CA-0246,4,720
188,Fuel Injector,Engine,EngineMax,90,Tom Brown,2024-12-05,250,FI-1357,3,750
189,Drive Shaft,Transmission,AutoFlex,80,Alice Green,2024-12-09,350,DS-2468,2,700
190,Water Pump,Engine,FilterKing,200,Karen White,2024-12-13,120,WP-3579,7,840
191,Transmission Filter,Transmission,AutoPro Inc.,90,John Smith,2024-12-17,75,TF-4680,10,750
192,Crankshaft Pulley,Engine,EngineMax,150,Sarah Lee,2024-12-21,95,CP-5791,8,760
193,Starter Motor,Electrical,CoolParts,50,Tom Brown,2024-12-25,300,SM-6802,2,600
194,Throttle Body,Engine,FilterKing,100,Alice Green,2024-12-29,220,TB-7913,3,660
